measurement_id,case_id,sensor_position,asset_type,bearing_model,fault_origin,fixed_speed,sampling_rate,rpm,signal_length,unit,ftf_multiple,bpf_multiple,bpfo_multiple,bpfi_multiple,Bearing_health_state,mean,std,rms,peak,peak_to_peak,crest_factor,skewness,kurtosis,shape_factor,impulse_factor,p5,p25,p75,p95,iqr,fft_mean,fft_std,fft_peak,fft_peak_freq_norm,spectral_centroid,spectral_bandwidth,band_energy_low,band_energy_mid_low,band_energy_mid_high,band_energy_high
10,9,FS,Pump,BRG_B,FS,0,6400,1181.65,16384,m/s^2,0.415987,2.13593,4.94682,7.14286,1,0.000372715,2.4454,2.43062,10.8255,18.8404,4.48399,0.0502716,0.0373924,1.25854,5.6564,-3.93919,-1.61934,1.60828,3.95023,3.19051,208.0,231.379,5747.97,0.131775,0.202723,0.136172,348823000.0,279132000.0,115204000.0,22927800.0
11,7,FS,Agitator,BRG_A,DS,1,5120,1156.41,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,0.000528063,0.00261034,0.0361001,0.0774686,0.445314,4.77335,0.0374473,0.196912,1.26276,6.04525,-0.0776168,-0.00110871,0.0187471,0.0845017,0.00297198,1.78842,-0.117067,23.5426,0.0028826,0.21837,0.155456,-1192140.0,2089570.0,34087700.0,-537740.0
12,9,DS,Pump,BRG_H,FS,0,6400,1216.72,16384,m/s^2,0.405987,2.57593,5.67682,8.40286,0,-0.000169264,6.15998,6.14827,23.4731,44.5272,3.84949,-0.00262082,-0.0293517,1.25381,4.84524,-10.3019,-4.11671,4.16519,10.0943,8.2354,359.491,700.12,10489.2,0.493267,0.408143,0.106747,17930300.0,41536800.0,234289000.0,4731450000.0
13,3,FS,Engine,BRG_A,DS,1,5120,1165.85,16384,m/s^2,0.405214,2.55976,4.08749,5.91793,0,4.69618e-05,2.01997,2.01667,8.31866,15.5707,4.10745,-0.105162,0.0581121,1.24673,5.10714,-3.38963,-1.36307,1.39541,3.1305,2.76922,130.403,220.98,6155.24,0.162189,0.293926,0.131922,22048700.0,210176000.0,63587000.0,162502000.0
14,11,FS,Roller,BRG_E,FS,0,512,35.8526,8192,m/s^2,1.03959,5.40216,8.20962,13.4255,0,6.20384e-05,0.126576,0.115181,0.363574,1.08576,3.73236,0.0254263,-0.212278,1.23164,4.563,-0.215077,-0.087441,0.0617314,0.167511,0.124587,5.11664,10.8797,417.713,0.148249,0.22618,0.142851,-487732.0,2490550.0,29637400.0,-6112980.0
15,3,FS,Engine,BRG_A,DS,1,5120,1161.99,16384,m/s^2,0.405214,2.55976,4.08749,5.91793,0,2.94775e-05,3.61297,3.58527,11.4052,22.1016,3.14842,0.114237,-0.474401,1.20728,3.80152,-5.716,-2.72703,2.66691,6.06415,5.42612,168.819,432.397,14299.5,0.161839,0.27445,0.120326,40874700.0,1035360000.0,468386000.0,142694000.0
16,3,DS,Engine,BRG_E,DS,1,5120,1162.64,16384,m/s^2,0.375214,1.98976,3.08749,4.91793,3,0.000212205,0.00640167,0.0212151,0.178298,0.0806164,4.37869,0.0897736,0.136288,1.25977,5.51517,-0.00676859,-0.0134998,0.0102335,0.0398611,0.046687,-2.57812,6.7454,159.025,0.00329069,0.225139,0.155743,-5425380.0,2354410.0,66989400.0,-8595790.0
17,7,FS,Agitator,BRG_A,DS,1,5120,1164.43,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,4.79929e-05,1.52755,1.48753,6.46198,11.6172,4.31961,0.000659956,-0.205879,1.23708,5.3789,-2.38796,-1.01594,1.0599,2.4919,2.10512,98.2151,167.419,3710.06,0.162801,0.304757,0.142712,22840500.0,53981600.0,32318200.0,194545000.0
18,9,FS,Pump,BRG_B,FS,0,6400,1184.72,16384,m/s^2,0.415987,2.13593,4.94682,7.14286,1,5.92588e-05,2.52769,2.51307,10.4791,20.1744,4.19936,-0.0215026,0.168741,1.26235,5.29869,-4.20482,-1.68108,1.68485,4.08717,3.33242,200.061,254.126,6830.06,0.0164127,0.19853,0.134446,404542000.0,320435000.0,133261000.0,24809300.0
19,7,FS,Agitator,BRG_A,DS,1,5120,1160.5,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,0.000432389,0.793695,0.773589,3.50245,6.68099,4.44817,-0.0231855,-0.0438604,1.25467,5.59168,-1.22667,-0.533142,0.54014,1.3655,1.05542,57.9273,83.2442,2825.82,0.0295432,0.262557,0.148307,44678500.0,8758850.0,32369800.0,-5520270.0
20,3,FS,Engine,BRG_A,DS,1,5120,1157.34,16384,m/s^2,0.405214,2.55976,4.08749,5.91793,0,5.1891e-05,2.14525,2.14458,8.65404,16.5788,4.0568,0.0114683,-0.144474,1.24688,5.07826,-3.60663,-1.46143,1.4514,3.45983,2.91183,103.535,255.884,9269.08,0.161723,0.290498,0.130636,16260200.0,235624000.0,128426000.0,211720000.0
21,3,FS,Engine,BRG_A,DS,1,5120,1161.58,16384,m/s^2,0.405214,2.55976,4.08749,5.91793,0,0.000223226,3.67808,3.74046,10.7984,20.9065,2.91027,0.121505,-0.543639,1.20703,3.5179,-5.81008,-2.78345,2.76336,6.30387,5.49544,128.623,461.72,29459.3,0.162284,0.277688,0.126697,31186800.0,1130120000.0,546668000.0,164824000.0
22,7,FS,Agitator,BRG_A,DS,1,5120,1165.94,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,2.7601e-05,1.45056,1.47232,5.70255,10.9459,3.82974,-0.0200078,-0.301932,1.23324,4.64818,-2.48637,-1.05009,1.03882,2.42137,2.12562,101.654,165.446,2950.06,0.159839,0.307611,0.141928,23648900.0,55946100.0,-26688100.0,207480000.0
23,3,DS,Engine,BRG_E,DS,1,5120,1162.91,16384,m/s^2,0.375214,1.98976,3.08749,4.91793,3,0.000341159,2.03291,2.01981,6.58789,12.9057,3.15971,-0.0336256,-0.347571,1.24343,3.89889,-3.41036,-1.37313,1.39597,3.40048,2.80032,98.2203,244.186,5180.32,0.160122,0.22209,0.113927,20992600.0,375454000.0,121905000.0,3060240.0
24,7,FS,Agitator,BRG_A,DS,1,5120,1160.23,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,0.000472775,0.841088,0.880041,3.7109,6.9646,4.18057,-0.0321824,0.128078,1.26104,5.28154,-1.46167,-0.539664,0.55626,1.37773,1.12218,66.6933,87.7449,2852.19,0.00307393,0.279994,0.15268,41524700.0,-934631.0,17315800.0,16779900.0
25,2,FS,Pump,BRG_F,DS,0,5120,1107.86,16384,m/s^2,0.409199,2.73983,3.73303,5.308,0,0.000254127,2.22123,2.24862,6.60856,12.5035,2.91397,-0.00571979,-0.895008,1.17887,3.43979,-3.53771,-1.80315,1.81702,3.61458,3.61273,96.5863,268.313,20990.2,0.193476,0.325248,0.14059,18840000.0,513034000.0,-25922700.0,113498000.0
26,7,FS,Agitator,BRG_A,DS,1,2560,1161.07,8192,m/s^2,0.411794,2.59144,3.99262,5.84189,0,0.00061163,0.885233,0.894094,3.65346,6.67525,4.09781,-0.0105638,0.229727,1.26344,5.19372,-1.44218,-0.561827,0.547887,1.37667,1.1294,30.0385,69.8607,1941.23,0.0535051,0.187531,0.141551,17443900.0,3407170.0,1511050.0,-10226700.0
27,9,DS,Pump,BRG_H,FS,0,6400,1175.82,16384,m/s^2,0.405987,2.57593,5.67682,8.40286,0,0.000123295,5.69669,5.76129,20.0871,39.9551,3.51694,-0.0166472,0.135288,1.26433,4.45852,-9.67318,-3.73154,3.74548,9.53895,7.46608,319.847,664.404,15374.4,0.475855,0.404268,0.109685,31203900.0,27367200.0,193900000.0,4118160000.0
28,7,FS,Agitator,BRG_A,DS,1,5120,1163.03,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,0.000184083,0.734888,0.791206,3.2131,6.02403,4.06051,0.00337742,-0.0217342,1.25591,5.08316,-1.2967,-0.527601,0.526319,1.27603,1.08123,67.773,75.091,1330.52,0.00199747,0.28486,0.148641,23751100.0,7527550.0,21778300.0,5934720.0
29,8,FS,Roller,BRG_D,DS,0,640,1238.95,16384,m/s^2,0.0326703,0.215398,0.524658,0.753853,0,0.000116171,0.0597065,0.0371403,0.296555,0.701552,3.90803,-0.0729282,-0.130695,1.24415,4.83201,-0.069967,-0.0349507,0.0480371,0.159283,0.0603271,6.14097,2.5433,216.328,0.211247,0.220885,0.119591,6410520.0,14320500.0,5563940.0,-5543180.0
30,7,DS,Agitator,BRG_E,DS,1,5120,1158.98,16384,m/s^2,0.381794,2.02144,2.99262,4.84189,0,0.000560644,0.614274,0.541368,2.39797,4.24041,3.69088,0.0236638,0.12536,1.26015,4.66624,-0.923428,-0.396481,0.37114,0.9745,0.839723,35.747,65.2395,2267.06,0.00410475,0.189488,0.148622,32044900.0,-777515.0,28762500.0,16114000.0
31,7,FS,Agitator,BRG_A,DS,1,2560,1161.89,8192,m/s^2,0.411794,2.59144,3.99262,5.84189,0,5.76756e-05,0.825859,0.871718,3.04577,5.84871,3.75099,-0.0250892,-0.00845867,1.25905,4.76133,-1.39804,-0.55647,0.559643,1.40085,1.12725,32.4475,70.2288,1861.89,0.054365,0.202155,0.140481,11864500.0,4431010.0,19404000.0,6120950.0
32,11,DS,Roller,BRG_E,FS,0,512,38.3252,8192,m/s^2,1.03959,5.40216,8.20962,13.4255,0,0.000494406,0.169697,0.127464,0.367956,0.963518,4.28881,-0.0300388,0.11438,1.25378,5.36707,-0.23454,-0.0887262,0.11452,0.207113,0.229529,6.58767,8.13132,322.413,0.144836,0.230941,0.140026,8522480.0,14005900.0,47010400.0,21290400.0
33,3,FS,Engine,BRG_A,DS,1,5120,1163.7,16384,m/s^2,0.405214,2.55976,4.08749,5.91793,0,0.000358922,3.61813,3.64882,11.1545,20.7952,3.04352,0.136583,-0.651318,1.20699,3.69632,-5.69317,-2.78361,2.67481,6.14035,5.43123,172.095,424.593,20520.0,0.162002,0.276566,0.119564,38166600.0,1070750000.0,522509000.0,169073000.0
34,3,FS,Engine,BRG_A,DS,1,5120,1159.35,16384,m/s^2,0.405214,2.55976,4.08749,5.91793,0,0.000290684,0.596413,0.598499,2.10188,4.65771,3.73803,-0.0212188,-0.185779,1.23276,4.59923,-1.02574,-0.425129,0.42835,1.00859,0.83314,34.7891,70.9481,3790.26,0.0290636,0.221956,0.168774,42709200.0,5882090.0,-34093800.0,17317300.0
35,9,DS,Pump,BRG_H,FS,0,6400,1189.06,16384,m/s^2,0.405987,2.57593,5.67682,8.40286,0,-1.83113e-05,6.67059,6.69864,22.9007,44.3164,3.42075,-0.00207623,-0.0818881,1.25198,4.30377,-11.2533,-4.46585,4.51063,11.1863,8.93952,372.45,776.479,11544.7,0.482002,0.411027,0.105308,24038000.0,37280500.0,388451000.0,5696060000.0
36,2,FS,Pump,BRG_F,DS,0,5120,1102.84,16384,m/s^2,0.409199,2.73983,3.73303,5.308,0,0.000144373,1.88663,1.85252,6.7539,12.8729,3.56395,0.00247316,-0.522338,1.22296,4.33794,-3.02872,-1.34236,1.38041,3.05286,2.66588,108.181,211.045,9361.84,0.194181,0.34459,0.131307,3913910.0,235325000.0,33504400.0,177547000.0
37,1,DS,Pump,BRG_K,DS,0,12800,2470.31,16384,m/s^2,0.390781,2.00655,4.88776,7.10268,0,-0.000781769,11.3966,11.3815,48.1936,92.0456,4.23472,-0.0137962,-0.0320129,1.25155,5.29825,-18.778,-7.75356,7.82688,18.5146,15.4978,913.916,1138.43,17651.5,0.337854,0.282423,0.126478,1912230000.0,1350950000.0,12388500000.0,1917400000.0
38,3,DS,Engine,BRG_E,DS,1,5120,1160.5,16384,m/s^2,0.375214,1.98976,3.08749,4.91793,0,0.000514135,0.62587,0.6478,3.09349,5.97292,4.83853,-0.122995,0.244627,1.265,6.12483,-1.08848,-0.413677,0.445781,0.978452,0.838266,42.0206,69.1512,1416.97,0.0249643,0.232566,0.177448,42937100.0,-6472910.0,-18841700.0,14980800.0
39,9,FS,Pump,BRG_B,FS,0,6400,1202.88,16384,m/s^2,0.415987,2.13593,4.94682,7.14286,0,6.04025e-05,3.82142,3.79678,23.1611,41.3944,6.15005,0.0322429,0.604989,1.2766,7.83105,-6.13746,-2.4333,2.41303,6.1733,4.85437,361.999,313.801,5238.2,0.024255,0.25031,0.154612,822799000.0,189221000.0,435962000.0,553683000.0
40,7,FS,Agitator,BRG_A,DS,1,5120,1162.02,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,0.000296364,1.11338,1.16589,4.78944,9.32388,4.18553,0.224998,0.334838,1.26784,5.29547,-1.81714,-0.783489,0.745023,1.95219,1.53031,50.9291,141.89,7128.55,0.0462784,0.174218,0.134165,154243000.0,18827800.0,-25875600.0,5216740.0
41,7,DS,Agitator,BRG_E,DS,1,5120,1166.21,16384,m/s^2,0.381794,2.02144,2.99262,4.84189,0,0.000452282,0.397016,0.438109,1.96015,3.11688,4.51761,0.0537958,0.0492854,1.25833,5.69067,-0.707384,-0.267323,0.291043,0.697373,0.594194,28.8868,49.4919,1452.77,0.0036789,0.195407,0.143149,11505900.0,-1978420.0,-12570000.0,-19096200.0
42,2,FS,Pump,BRG_F,DS,0,5120,1101.97,16384,m/s^2,0.409199,2.73983,3.73303,5.308,0,0.000255035,2.02009,1.99692,6.74523,12.8583,3.27358,-0.0681906,-0.672836,1.19025,3.86994,-3.29181,-1.59091,1.60199,3.13467,3.16788,102.808,238.188,14202.9,0.192211,0.314693,0.14501,32133500.0,387430000.0,20384500.0,124359000.0
43,3,DS,Engine,BRG_E,DS,1,5120,1160.57,16384,m/s^2,0.375214,1.98976,3.08749,4.91793,0,0.000231169,0.571032,0.527715,2.43383,4.30297,3.83747,-0.208062,0.217034,1.26287,4.87243,-0.98096,-0.398303,0.397075,0.828925,0.832435,35.0128,67.8575,2328.21,0.0262787,0.23118,0.174598,27952900.0,9449060.0,8133320.0,-1554300.0
44,7,DS,Agitator,BRG_E,DS,1,5120,1161.38,16384,m/s^2,0.381794,2.02144,2.99262,4.84189,0,4.83308e-05,0.493675,0.511694,2.12962,4.07461,4.09299,-0.0452294,-0.018565,1.26028,5.17168,-0.854719,-0.341116,0.333519,0.843411,0.675607,29.7917,57.7076,1960.74,0.0466643,0.187975,0.145338,21552900.0,6866530.0,-16440900.0,-18783100.0
45,9,FS,Pump,BRG_B,FS,0,6400,1208.4,16384,m/s^2,0.415987,2.13593,4.94682,7.14286,1,0.000450738,3.77038,3.76205,18.5379,36.7569,4.93913,0.0727539,0.337011,1.26451,6.23985,-6.12851,-2.50578,2.48434,6.23516,4.9727,283.183,394.047,8696.88,0.190824,0.209076,0.137097,624543000.0,832552000.0,315157000.0,132001000.0
46,2,FS,Pump,BRG_F,DS,0,5120,1101.79,16384,m/s^2,0.409199,2.73983,3.73303,5.308,0,0.000255913,2.37677,2.38049,7.0314,13.6477,2.94391,-0.065772,-0.902928,1.17087,3.47183,-3.77529,-1.93494,1.92756,3.54454,3.86817,105.913,280.953,14478.8,0.194969,0.323112,0.138066,27869900.0,585957000.0,51563700.0,117121000.0
47,2,DS,Pump,BRG_G,DS,0,5120,1096.13,16384,m/s^2,0.419199,2.97983,4.21303,5.828,0,0.000366533,1.79798,1.81589,7.15931,13.7553,3.83166,0.0167093,0.075667,1.25345,4.80022,-2.95593,-1.22367,1.2248,2.96768,2.3747,125.373,197.153,2875.64,0.00872253,0.370134,0.13873,24992900.0,17088500.0,27055300.0,409216000.0
48,9,DS,Pump,BRG_H,FS,0,6400,1221.03,16384,m/s^2,0.405987,2.57593,5.67682,8.40286,0,-0.000115525,6.23477,6.25876,22.6958,44.7674,3.6088,0.00583023,-0.121398,1.23829,4.45252,-10.3618,-4.39039,4.3926,10.3411,8.78438,374.218,715.014,11124.5,0.488797,0.407246,0.106627,16204200.0,51644300.0,289980000.0,4957400000.0
49,7,DS,Agitator,BRG_E,DS,1,5120,1161.38,16384,m/s^2,0.381794,2.02144,2.99262,4.84189,0,0.000313558,0.530381,0.570155,2.4246,4.3718,4.4877,-0.0841191,0.238052,1.26845,5.65153,-0.964079,-0.362995,0.340584,0.886516,0.711871,31.1049,58.6747,1896.59,0.00415195,0.182883,0.146636,26890200.0,1169270.0,6404340.0,15945400.0
50,2,DS,Pump,BRG_G,DS,0,5120,1097.95,16384,m/s^2,0.419199,2.97983,4.21303,5.828,0,3.77181e-05,1.78019,1.71658,7.44159,13.5436,4.19557,0.00496364,0.18848,1.25634,5.25772,-2.90306,-1.19792,1.20934,2.85756,2.41763,122.692,183.548,3575.34,0.193782,0.361417,0.145239,25601900.0,31891600.0,20973700.0,341815000.0
51,7,FS,Agitator,BRG_A,DS,1,5120,1160.32,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,0.000449537,0.791288,0.849397,3.50164,6.63572,4.25774,0.0141058,0.138787,1.25913,5.36627,-1.27441,-0.535732,0.544087,1.36778,1.05862,66.2845,76.9374,1870.43,0.00125664,0.278699,0.15262,30830400.0,-1973410.0,15661900.0,33982400.0
52,11,DS,Roller,BRG_E,FS,0,512,29.1238,8192,m/s^2,1.03959,5.40216,8.20962,13.4255,0,5.82415e-06,0.140796,0.20322,0.652121,1.24048,3.83218,-0.0640327,0.0790133,1.2527,4.79536,-0.234294,-0.0878832,0.128333,0.242232,0.210188,7.7357,10.9229,182.419,0.404988,0.267173,0.139452,-9392610.0,782756.0,-12824400.0,6976320.0
53,7,DS,Agitator,BRG_E,DS,1,5120,1163.99,16384,m/s^2,0.381794,2.02144,2.99262,4.84189,0,0.000497874,0.479549,0.450138,2.40223,4.62342,5.4993,-0.107386,0.728184,1.28088,7.01061,-0.679776,-0.265565,0.297235,0.763956,0.525405,30.0572,46.3918,1449.31,0.0452733,0.199132,0.146504,10667700.0,8063300.0,-20884100.0,-1945380.0
54,2,FS,Pump,BRG_F,DS,0,5120,1101.97,16384,m/s^2,0.409199,2.73983,3.73303,5.308,0,0.000315599,1.64269,1.59341,5.51972,11.0736,3.49689,-0.0328609,-0.561057,1.21269,4.21013,-2.59655,-1.18303,1.22884,2.62562,2.44144,92.4973,183.902,9830.36,0.19508,0.330388,0.139942,16783000.0,207477000.0,10897100.0,110578000.0
55,3,DS,Engine,BRG_E,DS,1,5120,1163.13,16384,m/s^2,0.375214,1.98976,3.08749,4.91793,0,0.000461889,0.636394,0.656561,2.94005,5.61625,4.32232,-0.110045,0.1038,1.26361,5.46335,-1.00251,-0.407668,0.430824,1.07458,0.880431,42.8419,66.1754,1584.03,0.002943,0.233733,0.173743,35678500.0,4182120.0,-6519950.0,10891800.0
56,1,DS,Pump,BRG_K,DS,0,12800,2500.08,16384,m/s^2,0.390781,2.00655,4.88776,7.10268,0,-0.000546403,11.2108,11.2005,49.51,94.0885,4.40431,-0.0317317,0.121897,1.25718,5.51609,-18.6217,-7.33865,7.64007,18.2613,15.0235,883.071,1133.25,16170.0,0.333744,0.281149,0.128829,2223940000.0,1247170000.0,11445100000.0,1901770000.0
57,9,FS,Pump,BRG_B,FS,0,6400,1202.65,16384,m/s^2,0.415987,2.13593,4.94682,7.14286,0,3.6693e-05,2.19744,2.20207,9.46913,18.5705,4.33014,0.0343026,0.160586,1.26112,5.4659,-3.58367,-1.48694,1.47495,3.65333,2.94205,212.426,183.408,3769.22,0.0246022,0.242698,0.152679,308838000.0,76078700.0,130111000.0,168539000.0
58,7,FS,Agitator,BRG_A,DS,1,5120,1165.86,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,2.41667e-05,0.671756,0.651852,3.26943,5.34156,4.88623,0.0251723,0.0159859,1.25,6.09666,-1.10729,-0.42491,0.440291,1.10865,0.904841,58.6478,62.1614,1496.84,0.0280288,0.288576,0.146171,20780800.0,11642700.0,48636900.0,24148800.0
59,7,DS,Agitator,BRG_E,DS,1,5120,1159.56,16384,m/s^2,0.381794,2.02144,2.99262,4.84189,0,0.000544813,0.771429,0.730835,3.22346,6.04497,4.41205,-0.0191292,0.0014576,1.25086,5.51913,-1.27815,-0.494527,0.510602,1.14133,0.943176,48.2825,81.5163,1748.28,0.139295,0.206697,0.139003,28577200.0,26437700.0,-18836300.0,-14722700.0
60,7,FS,Agitator,BRG_A,DS,1,5120,1164.45,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,0.000458499,0.889824,0.893376,3.74639,7.43913,4.07822,-0.0956708,-0.0386341,1.25667,5.10279,-1.64266,-0.625844,0.596203,1.48968,1.21956,49.5684,101.65,4517.33,0.0277172,0.18192,0.135731,79699200.0,16721300.0,38474600.0,9461330.0
61,7,DS,Agitator,BRG_E,DS,1,5120,1162.9,16384,m/s^2,0.381794,2.02144,2.99262,4.84189,3,0.000376676,0.983275,0.968134,4.32622,7.87575,4.28965,-0.0018811,-0.0466753,1.25073,5.33967,-1.57887,-0.684746,0.68417,1.60024,1.29868,64.1702,107.966,2684.58,0.0477908,0.201011,0.132462,68275500.0,14437900.0,22491300.0,5323310.0
62,11,DS,Roller,BRG_E,FS,0,512,35.1627,8192,m/s^2,1.03959,5.40216,8.20962,13.4255,0,0.000453024,0.120498,0.1558,0.326247,0.728653,3.64168,0.117272,-0.098957,1.25163,4.57388,-0.228669,-0.086181,0.0932475,0.200205,0.160474,5.38066,7.49831,300.239,-0.00107995,0.206516,0.145962,5902020.0,1313920.0,-15277800.0,1187100.0
63,2,FS,Pump,BRG_F,DS,0,5120,1101.0,16384,m/s^2,0.409199,2.73983,3.73303,5.308,0,0.000313814,1.48704,1.5546,5.92523,11.4415,3.79793,0.0608759,-0.179472,1.24196,4.73963,-2.52246,-1.09268,1.06346,2.60959,2.12069,107.455,163.228,5930.08,0.192205,0.297714,0.161831,96716600.0,93894500.0,-54208500.0,124119000.0
64,2,DS,Pump,BRG_G,DS,0,5120,1100.69,16384,m/s^2,0.419199,2.97983,4.21303,5.828,0,0.000318294,1.82983,1.87927,6.99949,13.3962,3.76118,0.0235471,0.0379512,1.25589,4.7321,-2.99465,-1.22055,1.22301,3.04336,2.46014,127.501,198.65,3335.78,0.194786,0.374778,0.134574,18787700.0,14136200.0,-47101300.0,373275000.0
65,1,DS,Pump,BRG_K,DS,0,12800,2511.65,16384,m/s^2,0.390781,2.00655,4.88776,7.10268,2,-0.00185394,15.4159,15.4171,84.7346,168.79,5.52014,0.0805263,1.36827,1.30832,7.2145,-24.4297,-9.31519,9.31573,24.6149,18.6363,1107.97,1634.45,35700.0,0.331267,0.278888,0.123446,3506940000.0,2626330000.0,22883200000.0,2835350000.0
66,7,FS,Agitator,BRG_A,DS,1,5120,1163.55,16384,m/s^2,0.411794,2.59144,3.99262,5.84189,0,8.83831e-05,0.724038,0.737864,3.15467,6.1165,4.18283,-0.0072186,0.126411,1.26049,5.23845,-1.12413,-0.508166,0.494739,1.24132,0.968632,62.5592,74.2653,1374.59,0.107732,0.282379,0.150639,21689900.0,2777960.0,91754300.0,29991300.0
67,2,DS,Pump,BRG_G,DS,0,5120,1101.25,16384,m/s^2,0.419199,2.97983,4.21303,5.828,0,0.000355011,1.96832,1.98346,7.61612,15.1744,3.80388,-0.00595476,0.00105878,1.25307,4.76795,-3.27059,-1.3473,1.35354,3.29684,2.69865,129.143,218.275,3091.23,0.473372,0.379824,0.133739,15413800.0,20133800.0,8269450.0,463186000.0
