date,year,month,day,hour,day_of_week,is_weekend,season,city,station,latitude,longitude,temperature,humidity,wind_speed,visibility,aqi,id
2023-06-04,2023,6,4,23,Friday,0,monsoon,Metropolis_Alpha,Monitoring_Station_14,38.6362,87.201,38.2,82,9.5,7.6,101,30
2027-01-19,2027,1,19,18,Sunday,1,winter,Metropolis_Delta,Monitoring_Station_20,38.4089,87.3178,12.5,46,6.1,3.4,358,31
2024-07-21,2024,7,21,6,Friday,0,monsoon,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,25.5,99,6.1,7.5,100,32
2027-11-18,2027,11,18,23,Tuesday,0,winter,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,21.1,56,4.9,1.1,500,33
2027-08-23,2027,8,23,18,Saturday,1,monsoon,Metropolis_Alpha,Monitoring_Station_07,38.5308,87.271,30.2,87,11.8,6.4,33,34
2024-11-14,2024,11,14,6,Tuesday,0,winter,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,17.5,100,4.1,0.3,500,35
2022-04-09,2022,4,9,23,Thursday,0,summer,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,33.4,23,16.2,6.1,192,36
2026-08-04,2026,8,4,23,Sunday,1,monsoon,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,30.8,94,16.4,8.9,76,37
2024-10-15,2024,10,15,23,Sunday,1,post_monsoon,Metropolis_Gamma,Monitoring_Station_18,38.450199999999995,87.0266,29.3,31,10.1,1.1,466,38
2022-08-15,2022,8,15,23,Saturday,1,monsoon,Metropolis_Epsilon,Monitoring_Station_23,38.7529,87.2782,32.2,85,14.3,6.7,32,39
2024-01-10,2024,1,10,12,Monday,0,winter,Metropolis_Alpha,Monitoring_Station_10,38.5631,87.1851,20.0,50,8.0,1.2,397,40
2026-02-01,2026,2,1,6,Friday,0,winter,Metropolis_Beta,Monitoring_Station_16,38.5447,87.323,9.4,100,2.8,1.9,500,41
2026-03-26,2026,3,26,12,Tuesday,0,summer,Metropolis_Alpha,Monitoring_Station_06,38.6683,87.1311,30.0,39,19.2,4.5,185,42
2027-08-15,2027,8,15,6,Friday,0,monsoon,Metropolis_Alpha,Monitoring_Station_13,38.6089,87.0327,24.5,94,5.7,9.7,42,43
2026-08-02,2026,8,2,23,Friday,0,monsoon,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,30.3,86,14.0,6.8,39,44
2023-02-23,2023,2,23,6,Tuesday,0,winter,Metropolis_Alpha,Monitoring_Station_01,38.6469,87.3164,11.2,100,3.7,1.4,500,45
2027-04-05,2027,4,5,6,Saturday,1,summer,Metropolis_Alpha,Monitoring_Station_01,38.6469,87.3164,25.6,48,11.2,6.6,211,46
2027-12-08,2027,12,8,12,Monday,0,winter,Metropolis_Alpha,Monitoring_Station_03,38.6999,87.1653,20.5,47,7.7,1.7,424,47
2022-01-13,2022,1,13,12,Tuesday,0,winter,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,19.3,47,6.7,2.3,346,48
2026-01-23,2026,1,23,6,Wednesday,0,winter,Metropolis_Epsilon,Monitoring_Station_22,38.6605,87.3573,7.5,100,3.0,1.1,500,49
2023-08-09,2023,8,9,12,Monday,0,monsoon,Metropolis_Epsilon,Monitoring_Station_22,38.6605,87.3573,38.1,91,12.7,14.5,29,50
2025-06-04,2025,6,4,23,Monday,0,monsoon,Metropolis_Alpha,Monitoring_Station_06,38.6683,87.1311,38.9,72,9.6,7.0,129,51
2027-07-05,2027,7,5,18,Saturday,1,monsoon,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,34.5,81,16.2,11.2,77,52
2027-05-19,2027,5,19,23,Monday,0,summer,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,38.9,36,16.1,5.2,167,53
2023-07-07,2023,7,7,6,Wednesday,0,monsoon,Metropolis_Epsilon,Monitoring_Station_23,38.7529,87.2782,25.8,100,6.6,7.7,114,54
2022-01-02,2022,1,2,23,Friday,0,winter,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,15.2,58,5.7,1.1,500,55
2026-04-13,2026,4,13,6,Saturday,1,summer,Metropolis_Gamma,Monitoring_Station_18,38.450199999999995,87.0266,24.7,53,11.5,5.8,108,56
2027-07-12,2027,7,12,18,Saturday,1,monsoon,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,32.0,78,11.0,9.5,51,57
2023-12-23,2023,12,23,12,Thursday,0,winter,Metropolis_Delta,Monitoring_Station_20,38.4089,87.3178,22.4,51,9.4,1.2,498,58
2027-12-27,2027,12,27,18,Saturday,1,winter,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,15.1,54,3.8,2.2,398,59
2024-04-15,2024,4,15,23,Saturday,1,summer,Metropolis_Beta,Monitoring_Station_16,38.5447,87.323,33.9,37,10.8,7.4,111,60
2027-04-15,2027,4,15,23,Tuesday,0,summer,Metropolis_Alpha,Monitoring_Station_10,38.5631,87.1851,32.7,22,17.4,5.2,171,61
2022-05-02,2022,5,2,23,Saturday,1,summer,Metropolis_Alpha,Monitoring_Station_13,38.6089,87.0327,37.4,26,19.1,5.7,140,62
2025-05-28,2025,5,28,6,Monday,0,summer,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,33.9,46,9.9,7.9,180,63
2026-09-27,2026,9,27,18,Friday,0,monsoon,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,33.0,69,8.9,6.2,122,64
2025-03-19,2025,3,19,23,Monday,0,summer,Metropolis_Alpha,Monitoring_Station_02,38.7299,87.1718,22.7,36,20.1,3.7,307,65
2025-01-17,2025,1,17,18,Wednesday,0,winter,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,12.2,47,5.7,1.1,500,66
2022-12-22,2022,12,22,6,Tuesday,0,winter,Metropolis_Alpha,Monitoring_Station_05,38.6289,87.2414,10.6,100,3.3,0.3,500,67
2026-08-25,2026,8,25,18,Sunday,1,monsoon,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,30.2,87,15.8,15.0,81,68
2026-12-31,2026,12,31,6,Tuesday,0,winter,Metropolis_Alpha,Monitoring_Station_08,38.6519,87.1579,9.7,100,3.6,1.2,500,69
2026-02-27,2026,2,27,6,Wednesday,0,winter,Metropolis_Alpha,Monitoring_Station_10,38.5631,87.1851,12.1,100,3.0,2.7,391,70
2024-02-27,2024,2,27,12,Sunday,1,winter,Metropolis_Delta,Monitoring_Station_20,38.4089,87.3178,23.3,56,9.6,3.5,363,71
2024-07-11,2024,7,11,12,Tuesday,0,monsoon,Metropolis_Beta,Monitoring_Station_16,38.5447,87.323,37.4,83,14.2,10.2,35,72
2026-09-23,2026,9,23,18,Monday,0,monsoon,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,30.8,73,10.7,11.8,71,73
2027-09-01,2027,9,1,18,Monday,0,monsoon,Metropolis_Delta,Monitoring_Station_21,38.3722,87.3099,32.7,80,9.1,4.7,104,74
2024-09-08,2024,9,8,12,Friday,0,monsoon,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,34.9,71,16.7,4.8,100,75
2027-02-02,2027,2,2,12,Sunday,1,winter,Metropolis_Alpha,Monitoring_Station_10,38.5631,87.1851,20.1,52,7.4,2.0,346,76
2027-07-14,2027,7,14,18,Monday,0,monsoon,Metropolis_Gamma,Monitoring_Station_18,38.450199999999995,87.0266,34.6,83,16.1,13.4,50,77
2022-03-20,2022,3,20,18,Friday,0,summer,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,25.5,38,15.2,4.0,312,78
2025-10-26,2025,10,26,18,Friday,0,post_monsoon,Metropolis_Alpha,Monitoring_Station_05,38.6289,87.2414,27.8,38,5.9,1.4,500,79
2023-09-23,2023,9,23,6,Thursday,0,monsoon,Metropolis_Alpha,Monitoring_Station_06,38.6683,87.1311,25.2,94,4.8,9.3,64,80
2027-10-06,2027,10,6,23,Monday,0,post_monsoon,Metropolis_Delta,Monitoring_Station_21,38.3722,87.3099,29.9,21,6.3,2.2,335,81
2027-03-01,2027,3,1,12,Saturday,1,summer,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,28.3,30,21.1,7.0,206,82
2026-07-07,2026,7,7,23,Sunday,1,monsoon,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,31.4,93,10.9,14.1,29,83
2023-11-25,2023,11,25,23,Thursday,0,winter,Metropolis_Alpha,Monitoring_Station_05,38.6289,87.2414,20.4,55,6.5,1.2,500,84
2026-02-08,2026,2,8,23,Friday,0,winter,Metropolis_Beta,Monitoring_Station_16,38.5447,87.323,19.0,65,3.7,2.2,391,85
2022-01-05,2022,1,5,6,Monday,0,winter,Metropolis_Epsilon,Monitoring_Station_22,38.6605,87.3573,9.3,100,2.9,0.3,500,86
2024-05-27,2024,5,27,12,Saturday,1,summer,Metropolis_Beta,Monitoring_Station_15,38.6246,87.3649,44.5,24,24.6,8.0,114,87
2024-07-29,2024,7,29,6,Saturday,1,monsoon,Metropolis_Alpha,Monitoring_Station_02,38.7299,87.1718,27.6,94,8.7,6.4,38,88
2025-08-31,2025,8,31,12,Friday,0,monsoon,Metropolis_Alpha,Monitoring_Station_01,38.6469,87.3164,35.2,69,13.8,4.8,136,89
2024-11-23,2024,11,23,12,Thursday,0,winter,Metropolis_Gamma,Monitoring_Station_18,38.450199999999995,87.0266,27.3,59,8.6,0.9,500,90
2023-03-25,2023,3,25,12,Thursday,0,summer,Metropolis_Epsilon,Monitoring_Station_23,38.7529,87.2782,29.7,24,21.6,6.7,220,91
2027-05-04,2027,5,4,12,Sunday,1,summer,Metropolis_Alpha,Monitoring_Station_05,38.6289,87.2414,42.1,29,23.3,7.7,134,92
2024-06-02,2024,6,2,23,Friday,0,monsoon,Metropolis_Alpha,Monitoring_Station_09,38.7495,87.0565,39.7,83,14.6,6.5,119,93
2026-02-08,2026,2,8,6,Friday,0,winter,Metropolis_Alpha,Monitoring_Station_08,38.6519,87.1579,11.6,100,2.5,2.5,364,94
2026-03-20,2026,3,20,12,Wednesday,0,summer,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,27.0,32,20.1,5.4,221,95
2022-04-12,2022,4,12,12,Sunday,1,summer,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,38.0,26,20.4,4.6,117,96
2027-11-15,2027,11,15,18,Saturday,1,winter,Metropolis_Delta,Monitoring_Station_20,38.4089,87.3178,20.3,53,4.7,1.5,500,97
2025-12-02,2025,12,2,12,Sunday,1,winter,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,21.3,50,5.7,2.0,405,98
2027-10-04,2027,10,4,23,Saturday,1,post_monsoon,Metropolis_Alpha,Monitoring_Station_13,38.6089,87.0327,29.9,22,8.7,2.6,303,99
2024-03-18,2024,3,18,12,Saturday,1,summer,Metropolis_Alpha,Monitoring_Station_10,38.5631,87.1851,26.9,32,29.0,5.5,168,100
2027-03-08,2027,3,8,23,Saturday,1,summer,Metropolis_Alpha,Monitoring_Station_03,38.6999,87.1653,22.7,33,19.0,3.2,275,101
2025-09-10,2025,9,10,6,Monday,0,monsoon,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,25.9,81,4.2,14.0,90,102
2023-02-14,2023,2,14,6,Sunday,1,winter,Metropolis_Epsilon,Monitoring_Station_22,38.6605,87.3573,9.9,100,2.4,2.0,448,103
2025-02-18,2025,2,18,12,Sunday,1,winter,Metropolis_Alpha,Monitoring_Station_02,38.7299,87.1718,23.3,52,7.1,2.3,410,104
2022-02-01,2022,2,1,6,Sunday,1,winter,Metropolis_Beta,Monitoring_Station_16,38.5447,87.323,9.6,100,3.2,2.7,495,105
2023-01-29,2023,1,29,18,Friday,0,winter,Metropolis_Alpha,Monitoring_Station_07,38.5308,87.271,15.7,52,5.0,2.8,410,106
2022-01-11,2022,1,11,18,Sunday,1,winter,Metropolis_Alpha,Monitoring_Station_10,38.5631,87.1851,12.8,46,4.8,2.3,411,107
2023-02-20,2023,2,20,6,Saturday,1,winter,Metropolis_Alpha,Monitoring_Station_07,38.5308,87.271,10.5,100,3.8,2.6,443,108
2025-12-18,2025,12,18,23,Tuesday,0,winter,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,15.2,47,5.1,2.1,425,109
2023-06-02,2023,6,2,12,Wednesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_07,38.5308,87.271,44.6,67,20.2,7.9,132,110
2023-09-27,2023,9,27,18,Monday,0,monsoon,Metropolis_Alpha,Monitoring_Station_14,38.6362,87.201,32.7,80,9.1,5.4,98,111
2026-08-21,2026,8,21,6,Wednesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_05,38.6289,87.2414,27.2,100,5.3,14.4,39,112
2025-03-16,2025,3,16,23,Friday,0,summer,Metropolis_Alpha,Monitoring_Station_06,38.6683,87.1311,24.0,30,13.7,6.7,233,113
2022-06-25,2022,6,25,12,Thursday,0,monsoon,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,42.7,68,24.2,5.0,179,114
2023-01-30,2023,1,30,12,Saturday,1,winter,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,17.4,57,8.9,1.1,400,115
2025-08-12,2025,8,12,18,Sunday,1,monsoon,Metropolis_Delta,Monitoring_Station_21,38.3722,87.3099,32.8,82,10.3,8.4,62,116
2026-08-25,2026,8,25,23,Sunday,1,monsoon,Metropolis_Delta,Monitoring_Station_21,38.3722,87.3099,33.5,88,13.5,10.3,52,117
2025-04-21,2025,4,21,23,Saturday,1,summer,Metropolis_Alpha,Monitoring_Station_13,38.6089,87.0327,33.6,25,12.7,4.9,127,118
2026-12-17,2026,12,17,18,Tuesday,0,winter,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,16.3,62,4.5,3.0,486,119
2026-07-23,2026,7,23,12,Tuesday,0,monsoon,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,37.4,84,22.1,12.4,70,120
2027-06-11,2027,6,11,23,Wednesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_08,38.6519,87.1579,38.6,68,8.5,4.8,134,121
2023-07-24,2023,7,24,6,Saturday,1,monsoon,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,26.3,90,6.1,6.7,52,122
2025-11-29,2025,11,29,6,Thursday,0,winter,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,17.3,100,3.2,0.4,500,123
2025-09-12,2025,9,12,12,Wednesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,36.5,83,11.2,6.5,95,124
2027-05-29,2027,5,29,18,Thursday,0,summer,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,39.5,35,18.9,4.7,188,125
2023-01-24,2023,1,24,18,Sunday,1,winter,Metropolis_Epsilon,Monitoring_Station_22,38.6605,87.3573,13.6,58,4.8,2.7,401,126
2023-03-20,2023,3,20,6,Saturday,1,summer,Metropolis_Epsilon,Monitoring_Station_23,38.7529,87.2782,18.8,43,10.9,5.7,222,127
2023-02-10,2023,2,10,6,Wednesday,0,winter,Metropolis_Alpha,Monitoring_Station_09,38.7495,87.0565,9.7,100,3.3,2.5,382,128
2026-08-11,2026,8,11,6,Sunday,1,monsoon,Metropolis_Alpha,Monitoring_Station_09,38.7495,87.0565,25.5,100,7.1,7.4,31,129
2025-02-18,2025,2,18,12,Sunday,1,winter,Metropolis_Alpha,Monitoring_Station_08,38.6519,87.1579,21.6,57,7.9,4.5,344,130
2025-11-30,2025,11,30,6,Friday,0,winter,Metropolis_Gamma,Monitoring_Station_18,38.450199999999995,87.0266,10.6,100,2.3,0.8,500,131
2026-06-22,2026,6,22,12,Saturday,1,monsoon,Metropolis_Beta,Monitoring_Station_15,38.6246,87.3649,41.0,79,20.6,6.6,62,132
2027-12-29,2027,12,29,6,Monday,0,winter,Metropolis_Alpha,Monitoring_Station_08,38.6519,87.1579,11.8,100,3.6,1.2,500,133
2025-10-27,2025,10,27,12,Saturday,1,post_monsoon,Metropolis_Alpha,Monitoring_Station_06,38.6683,87.1311,34.8,29,8.7,1.5,500,134
2023-08-16,2023,8,16,18,Monday,0,monsoon,Metropolis_Alpha,Monitoring_Station_10,38.5631,87.1851,31.3,85,15.8,9.8,85,135
2027-01-07,2027,1,7,6,Tuesday,0,winter,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,9.4,100,3.2,0.5,500,136
2024-02-17,2024,2,17,6,Thursday,0,winter,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,10.3,100,3.1,1.4,500,137
2025-07-09,2025,7,9,12,Monday,0,monsoon,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,39.4,94,22.1,10.5,30,138
2023-07-06,2023,7,6,12,Tuesday,0,monsoon,Metropolis_Delta,Monitoring_Station_20,38.4089,87.3178,38.8,89,19.1,11.4,74,139
2024-12-03,2024,12,3,18,Sunday,1,winter,Metropolis_Alpha,Monitoring_Station_06,38.6683,87.1311,14.4,63,6.7,1.6,493,140
2022-06-24,2022,6,24,12,Wednesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_07,38.5308,87.271,42.1,69,18.3,5.8,100,141
2023-05-05,2023,5,5,12,Wednesday,0,summer,Metropolis_Alpha,Monitoring_Station_02,38.7299,87.1718,43.3,35,20.2,6.8,150,142
2023-09-26,2023,9,26,18,Sunday,1,monsoon,Metropolis_Gamma,Monitoring_Station_18,38.450199999999995,87.0266,30.9,81,6.2,4.6,121,143
2025-05-21,2025,5,21,6,Monday,0,summer,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,32.5,53,6.5,5.9,190,144
2027-03-27,2027,3,27,6,Thursday,0,summer,Metropolis_Gamma,Monitoring_Station_18,38.450199999999995,87.0266,16.6,41,12.1,2.4,238,145
2027-03-11,2027,3,11,18,Tuesday,0,summer,Metropolis_Alpha,Monitoring_Station_13,38.6089,87.0327,22.5,22,14.7,3.8,274,146
2026-09-17,2026,9,17,6,Tuesday,0,monsoon,Metropolis_Epsilon,Monitoring_Station_22,38.6605,87.3573,24.5,89,6.0,8.5,74,147
2023-09-12,2023,9,12,18,Sunday,1,monsoon,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,32.5,76,10.5,6.5,95,148
2024-04-25,2024,4,25,23,Tuesday,0,summer,Metropolis_Alpha,Monitoring_Station_01,38.6469,87.3164,32.5,26,15.5,4.2,265,149
2025-10-15,2025,10,15,6,Monday,0,post_monsoon,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,21.6,43,5.5,2.3,367,150
2025-10-10,2025,10,10,12,Wednesday,0,post_monsoon,Metropolis_Alpha,Monitoring_Station_14,38.6362,87.201,31.3,25,8.9,2.1,330,151
2022-03-28,2022,3,28,6,Saturday,1,summer,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,19.9,54,12.1,7.6,184,152
2024-07-09,2024,7,9,23,Sunday,1,monsoon,Metropolis_Alpha,Monitoring_Station_03,38.6999,87.1653,31.4,82,14.7,9.8,44,153
2023-11-27,2023,11,27,6,Saturday,1,winter,Metropolis_Alpha,Monitoring_Station_13,38.6089,87.0327,14.8,100,3.2,0.2,500,154
2023-10-29,2023,10,29,18,Friday,0,post_monsoon,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,29.0,20,9.7,0.8,500,155
2024-05-24,2024,5,24,23,Wednesday,0,summer,Metropolis_Alpha,Monitoring_Station_07,38.5308,87.271,37.4,26,17.8,4.8,253,156
2024-05-31,2024,5,31,12,Wednesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,41.2,77,13.4,7.4,92,157
2025-05-10,2025,5,10,18,Thursday,0,summer,Metropolis_Alpha,Monitoring_Station_11,38.5535,87.2167,37.3,28,17.2,4.3,264,158
2022-10-14,2022,10,14,6,Wednesday,0,post_monsoon,Metropolis_Alpha,Monitoring_Station_03,38.6999,87.1653,23.1,38,6.2,2.0,347,159
2024-12-28,2024,12,28,18,Thursday,0,winter,Metropolis_Beta,Monitoring_Station_15,38.6246,87.3649,17.7,57,6.9,0.8,500,160
2022-10-31,2022,10,31,23,Saturday,1,post_monsoon,Metropolis_Alpha,Monitoring_Station_10,38.5631,87.1851,28.2,31,8.7,1.2,494,161
2023-01-06,2023,1,6,18,Wednesday,0,winter,Metropolis_Epsilon,Monitoring_Station_23,38.7529,87.2782,15.7,60,4.1,1.6,488,162
2027-06-01,2027,6,1,23,Sunday,1,monsoon,Metropolis_Alpha,Monitoring_Station_03,38.6999,87.1653,37.4,84,16.2,5.1,128,163
2027-09-10,2027,9,10,6,Wednesday,0,monsoon,Metropolis_Epsilon,Monitoring_Station_23,38.7529,87.2782,24.4,83,3.6,13.4,78,164
2024-05-14,2024,5,14,6,Sunday,1,summer,Metropolis_Alpha,Monitoring_Station_14,38.6362,87.201,30.2,42,10.3,7.5,108,165
2025-12-29,2025,12,29,12,Saturday,1,winter,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,20.0,46,7.6,2.1,381,166
2022-02-21,2022,2,21,18,Saturday,1,winter,Metropolis_Gamma,Monitoring_Station_18,38.450199999999995,87.0266,18.6,62,6.8,2.4,331,167
2026-06-04,2026,6,4,12,Tuesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_05,38.6289,87.2414,41.6,71,16.1,5.2,102,168
2022-08-11,2022,8,11,23,Tuesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_03,38.6999,87.1653,31.8,77,16.8,6.4,50,169
2027-02-25,2027,2,25,23,Tuesday,0,winter,Metropolis_Alpha,Monitoring_Station_09,38.7495,87.0565,15.6,49,3.8,2.1,353,170
2025-05-29,2025,5,29,6,Tuesday,0,summer,Metropolis_Alpha,Monitoring_Station_10,38.5631,87.1851,33.8,53,6.8,7.4,229,171
2023-01-09,2023,1,9,18,Saturday,1,winter,Metropolis_Alpha,Monitoring_Station_04,38.7762,87.051,12.1,54,6.2,2.3,500,172
2022-04-08,2022,4,8,23,Wednesday,0,summer,Metropolis_Epsilon,Monitoring_Station_22,38.6605,87.3573,32.8,26,18.5,5.8,163,173
2024-03-06,2024,3,6,12,Monday,0,summer,Metropolis_Alpha,Monitoring_Station_12,38.5708,87.0712,29.4,33,28.6,5.4,172,174
2027-08-26,2027,8,26,6,Tuesday,0,monsoon,Metropolis_Alpha,Monitoring_Station_01,38.6469,87.3164,25.3,98,8.8,12.9,46,175
2022-11-27,2022,11,27,18,Friday,0,winter,Metropolis_Gamma,Monitoring_Station_19,38.423,87.047,23.5,53,5.3,1.5,500,176
2022-09-02,2022,9,2,12,Wednesday,0,monsoon,Metropolis_Beta,Monitoring_Station_15,38.6246,87.3649,36.8,77,15.2,5.3,126,177
2024-03-03,2024,3,3,18,Friday,0,summer,Metropolis_Beta,Monitoring_Station_17,38.4744,87.504,25.2,32,18.9,4.4,314,178
2024-01-02,2024,1,2,18,Sunday,1,winter,Metropolis_Alpha,Monitoring_Station_07,38.5308,87.271,14.1,65,5.5,2.6,382,179
2027-10-14,2027,10,14,12,Tuesday,0,post_monsoon,Metropolis_Alpha,Monitoring_Station_06,38.6683,87.1311,34.4,21,9.1,2.5,500,180
